in s,C2 in V
-4.4095328E-02,6.95801E-03
-4.4094728E-02,4.02832E-03
-4.4094128E-02,4.76074E-03
-4.4093528E-02,5.49316E-03
-4.4092928E-02,5.49316E-03
-4.4092328E-02,6.22559E-03
-4.4091728E-02,6.95801E-03
-4.4091128E-02,6.22559E-03
-4.4090528E-02,6.22559E-03
-4.4089928E-02,1.09863E-03
-4.4089328E-02,5.49316E-03
-4.4088728E-02,6.95801E-03
-4.4088128E-02,6.22559E-03
-4.4087528E-02,4.76074E-03
-4.4086928E-02,3.29590E-03
-4.4086328E-02,6.95801E-03
-4.4085728E-02,5.49316E-03
-4.4085128E-02,5.49316E-03
-4.4084528E-02,-4.76074E-03
-4.4083928E-02,6.95801E-03
-4.4083328E-02,6.95801E-03
-4.4082728E-02,5.49316E-03
-4.4082128E-02,4.76074E-03
-4.4081528E-02,3.29590E-03
-4.4080928E-02,6.22559E-03
-4.4080328E-02,2.56348E-03
-4.4079728E-02,4.02832E-03
-4.4079128E-02,1.09863E-03
-4.4078528E-02,8.42285E-03
-4.4077928E-02,4.02832E-03
-4.4077328E-02,4.02832E-03
-4.4076728E-02,5.49316E-03
-4.4076128E-02,5.49316E-03
-4.4075528E-02,7.69043E-03
-4.4074928E-02,4.02832E-03
-4.4074328E-02,5.49316E-03
-4.4073728E-02,6.22559E-03
-4.4073128E-02,4.76074E-03
-4.4072528E-02,1.09863E-03
-4.4071928E-02,6.95801E-03
-4.4071328E-02,6.95801E-03
-4.4070728E-02,6.22559E-03
-4.4070128E-02,6.22559E-03
-4.4069528E-02,3.29590E-03
-4.4068928E-02,6.95801E-03
-4.4068328E-02,5.49316E-03
-4.4067728E-02,1.09863E-03
-4.4067128E-02,4.02832E-03
-4.4066528E-02,6.22559E-03
-4.4065928E-02,3.29590E-03
-4.4065328E-02,4.02832E-03
-4.4064728E-02,4.76074E-03
-4.4064128E-02,6.95801E-03
-4.4063528E-02,6.95801E-03
-4.4062928E-02,4.02832E-03
-4.4062328E-02,-3.66211E-04
-4.4061728E-02,6.22559E-03
-4.4061128E-02,7.69043E-03
-4.4060528E-02,5.49316E-03
-4.4059928E-02,6.95801E-03
-4.4059328E-02,2.56348E-03
-4.4058728E-02,6.22559E-03
-4.4058128E-02,1.83105E-03
-4.4057528E-02,5.49316E-03
-4.4056928E-02,4.02832E-03
-4.4056328E-02,7.69043E-03
-4.4055728E-02,4.02832E-03
-4.4055128E-02,5.49316E-03
-4.4054528E-02,7.69043E-03
-4.4053928E-02,2.56348E-03
-4.4053328E-02,6.95801E-03
-4.4052728E-02,4.76074E-03
-4.4052128E-02,8.42285E-03
-4.4051528E-02,7.69043E-03
-4.4050928E-02,5.49316E-03
-4.4050328E-02,3.29590E-03
-4.4049728E-02,6.22559E-03
-4.4049128E-02,7.69043E-03
-4.4048528E-02,8.42285E-03
-4.4047928E-02,5.49316E-03
-4.4047328E-02,5.49316E-03
-4.4046728E-02,6.95801E-03
-4.4046128E-02,6.22559E-03
-4.4045528E-02,2.56348E-03
-4.4044928E-02,6.22559E-03
-4.4044328E-02,6.22559E-03
-4.4043728E-02,4.02832E-03
-4.4043128E-02,4.76074E-03
-4.4042528E-02,6.22559E-03
-4.4041928E-02,8.42285E-03
-4.4041328E-02,6.95801E-03
-4.4040728E-02,4.02832E-03
-4.4040128E-02,3.66211E-04
-4.4039528E-02,7.69043E-03
-4.4038928E-02,6.95801E-03
-4.4038328E-02,5.49316E-03
-4.4037728E-02,6.95801E-03
-4.4037128E-02,2.56348E-03
-4.4036528E-02,8.42285E-03
-4.4035928E-02,4.76074E-03
-4.4035328E-02,7.69043E-03
-4.4034728E-02,9.88770E-03
-4.4034128E-02,7.69043E-03
-4.4033528E-02,5.49316E-03
-4.4032928E-02,6.22559E-03
-4.4032328E-02,6.95801E-03
-4.4031728E-02,4.02832E-03
-4.4031128E-02,7.69043E-03
-4.4030528E-02,4.02832E-03
-4.4029928E-02,9.15527E-03
-4.4029328E-02,6.95801E-03
-4.4028728E-02,5.49316E-03
-4.4028128E-02,5.49316E-03
-4.4027528E-02,7.69043E-03
-4.4026928E-02,5.49316E-03
-4.4026328E-02,4.02832E-03
-4.4025728E-02,8.42285E-03
-4.4025128E-02,6.22559E-03
-4.4024528E-02,8.42285E-03
-4.4023928E-02,4.76074E-03
-4.4023328E-02,-3.66211E-04
-4.4022728E-02,4.02832E-03
-4.4022128E-02,5.49316E-03
-4.4021528E-02,4.02832E-03
-4.4020928E-02,8.42285E-03
-4.4020328E-02,5.49316E-03
-4.4019728E-02,7.69043E-03
-4.4019128E-02,6.95801E-03
-4.4018528E-02,7.69043E-03
-4.4017928E-02,3.29590E-03
-4.4017328E-02,5.49316E-03
-4.4016728E-02,8.42285E-03
-4.4016128E-02,6.95801E-03
-4.4015528E-02,7.69043E-03
-4.4014928E-02,1.83105E-03
-4.4014328E-02,9.15527E-03
-4.4013728E-02,6.22559E-03
-4.4013128E-02,7.69043E-03
-4.4012528E-02,9.15527E-03
-4.4011928E-02,6.95801E-03
-4.4011328E-02,7.69043E-03
-4.4010728E-02,5.49316E-03
-4.4010128E-02,7.69043E-03
-4.4009528E-02,6.22559E-03
-4.4008928E-02,7.69043E-03
-4.4008328E-02,6.22559E-03
-4.4007728E-02,6.22559E-03
-4.4007128E-02,7.69043E-03
-4.4006528E-02,7.69043E-03
-4.4005928E-02,6.95801E-03
-4.4005328E-02,6.22559E-03
-4.4004728E-02,6.22559E-03
-4.4004128E-02,5.49316E-03
-4.4003528E-02,7.69043E-03
-4.4002928E-02,6.95801E-03
-4.4002328E-02,9.88770E-03
-4.4001728E-02,6.95801E-03
-4.4001128E-02,3.66211E-04
-4.4000528E-02,6.22559E-03
-4.3999928E-02,8.42285E-03
-4.3999328E-02,6.95801E-03
-4.3998728E-02,6.22559E-03
-4.3998128E-02,4.02832E-03
-4.3997528E-02,8.42285E-03
-4.3996928E-02,8.42285E-03
-4.3996328E-02,8.42285E-03
-4.3995728E-02,7.69043E-03
-4.3995128E-02,4.76074E-03
-4.3994528E-02,6.22559E-03
-4.3993928E-02,7.69043E-03
-4.3993328E-02,9.15527E-03
-4.3992728E-02,1.83105E-03
-4.3992128E-02,1.06201E-02
-4.3991528E-02,5.49316E-03
-4.3990928E-02,6.22559E-03
-4.3990328E-02,8.42285E-03
-4.3989728E-02,5.49316E-03
-4.3989128E-02,6.95801E-03
-4.3988528E-02,8.42285E-03
-4.3987928E-02,7.69043E-03
-4.3987328E-02,1.06201E-02
-4.3986728E-02,7.69043E-03
-4.3986128E-02,5.49316E-03
-4.3985528E-02,9.88770E-03
-4.3984928E-02,7.69043E-03
-4.3984328E-02,4.76074E-03
-4.3983728E-02,8.42285E-03
-4.3983128E-02,1.06201E-02
-4.3982528E-02,9.15527E-03
-4.3981928E-02,7.69043E-03
-4.3981328E-02,5.49316E-03
-4.3980728E-02,5.49316E-03
-4.3980128E-02,9.15527E-03
-4.3979528E-02,7.69043E-03
-4.3978928E-02,1.09863E-03
-4.3978328E-02,7.69043E-03
-4.3977728E-02,8.42285E-03
-4.3977128E-02,5.49316E-03
-4.3976528E-02,5.49316E-03
-4.3975928E-02,4.76074E-03
-4.3975328E-02,1.13525E-02
-4.3974728E-02,7.69043E-03
-4.3974128E-02,7.69043E-03
-4.3973528E-02,1.42822E-02
-4.3972928E-02,7.69043E-03
-4.3972328E-02,7.69043E-03
-4.3971728E-02,6.95801E-03
-4.3971128E-02,8.42285E-03
-4.3970528E-02,6.22559E-03
-4.3969928E-02,9.15527E-03
-4.3969328E-02,7.69043E-03
-4.3968728E-02,6.95801E-03
-4.3968128E-02,7.69043E-03
-4.3967528E-02,4.76074E-03
-4.3966928E-02,8.42285E-03
-4.3966328E-02,6.22559E-03
-4.3965728E-02,1.13525E-02
-4.3965128E-02,5.49316E-03
-4.3964528E-02,9.15527E-03
-4.3963928E-02,6.22559E-03
-4.3963328E-02,1.06201E-02
-4.3962728E-02,7.69043E-03
-4.3962128E-02,1.83105E-03
-4.3961528E-02,7.69043E-03
-4.3960928E-02,1.06201E-02
-4.3960328E-02,9.88770E-03
-4.3959728E-02,7.69043E-03
-4.3959128E-02,6.95801E-03
-4.3958528E-02,6.95801E-03
-4.3957928E-02,1.20850E-02
-4.3957328E-02,8.42285E-03
-4.3956728E-02,8.42285E-03
-4.3956128E-02,8.42285E-03
-4.3955528E-02,7.69043E-03
-4.3954928E-02,4.76074E-03
-4.3954328E-02,6.22559E-03
-4.3953728E-02,6.95801E-03
-4.3953128E-02,9.88770E-03
-4.3952528E-02,9.88770E-03
-4.3951928E-02,6.22559E-03
-4.3951328E-02,1.35498E-02
-4.3950728E-02,7.69043E-03
-4.3950128E-02,7.69043E-03
-4.3949528E-02,5.49316E-03
-4.3948928E-02,8.42285E-03
-4.3948328E-02,1.28174E-02
-4.3947728E-02,9.15527E-03
-4.3947128E-02,8.42285E-03
-4.3946528E-02,6.95801E-03
-4.3945928E-02,9.88770E-03
-4.3945328E-02,2.56348E-03
-4.3944728E-02,8.42285E-03
-4.3944128E-02,8.42285E-03
-4.3943528E-02,1.28174E-02
-4.3942928E-02,5.49316E-03
-4.3942328E-02,6.95801E-03
-4.3941728E-02,9.15527E-03
-4.3941128E-02,1.13525E-02
-4.3940528E-02,8.42285E-03
-4.3939928E-02,3.66211E-04
-4.3939328E-02,1.06201E-02
-4.3938728E-02,7.69043E-03
-4.3938128E-02,9.88770E-03
-4.3937528E-02,8.42285E-03
-4.3936928E-02,8.42285E-03
-4.3936328E-02,7.69043E-03
-4.3935728E-02,8.42285E-03
-4.3935128E-02,4.02832E-03
-4.3934528E-02,1.20850E-02
-4.3933928E-02,1.06201E-02
-4.3933328E-02,1.20850E-02
-4.3932728E-02,1.06201E-02
-4.3932128E-02,7.69043E-03
-4.3931528E-02,6.95801E-03
-4.3930928E-02,1.13525E-02
-4.3930328E-02,6.95801E-03
-4.3929728E-02,7.69043E-03
-4.3929128E-02,1.13525E-02
-4.3928528E-02,6.22559E-03
-4.3927928E-02,8.42285E-03
-4.3927328E-02,8.42285E-03
-4.3926728E-02,9.15527E-03
-4.3926128E-02,1.06201E-02
-4.3925528E-02,9.88770E-03
-4.3924928E-02,1.35498E-02
-4.3924328E-02,9.88770E-03
-4.3923728E-02,1.06201E-02
-4.3923128E-02,4.02832E-03
-4.3922528E-02,1.13525E-02
-4.3921928E-02,8.42285E-03
-4.3921328E-02,9.88770E-03
-4.3920728E-02,6.95801E-03
-4.3920128E-02,8.42285E-03
-4.3919528E-02,1.13525E-02
-4.3918928E-02,1.06201E-02
-4.3918328E-02,1.06201E-02
-4.3917728E-02,2.56348E-03
-4.3917128E-02,9.15527E-03
-4.3916528E-02,6.95801E-03
-4.3915928E-02,1.06201E-02
-4.3915328E-02,8.42285E-03
-4.3914728E-02,6.95801E-03
-4.3914128E-02,1.28174E-02
-4.3913528E-02,8.42285E-03
-4.3912928E-02,1.06201E-02
-4.3912328E-02,1.13525E-02
-4.3911728E-02,1.20850E-02
-4.3911128E-02,8.42285E-03
-4.3910528E-02,1.35498E-02
-4.3909928E-02,7.69043E-03
-4.3909328E-02,1.13525E-02
-4.3908728E-02,1.06201E-02
-4.3908128E-02,8.42285E-03
-4.3907528E-02,8.42285E-03
-4.3906928E-02,1.13525E-02
-4.3906328E-02,9.15527E-03
-4.3905728E-02,9.88770E-03
-4.3905128E-02,1.28174E-02
-4.3904528E-02,9.88770E-03
-4.3903928E-02,9.88770E-03
-4.3903328E-02,9.88770E-03
-4.3902728E-02,6.95801E-03
-4.3902128E-02,1.06201E-02
-4.3901528E-02,1.28174E-02
-4.3900928E-02,5.49316E-03
-4.3900328E-02,9.15527E-03
-4.3899728E-02,1.28174E-02
-4.3899128E-02,1.06201E-02
-4.3898528E-02,1.13525E-02
-4.3897928E-02,6.22559E-03
-4.3897328E-02,9.88770E-03
-4.3896728E-02,1.28174E-02
-4.3896128E-02,1.50146E-02
-4.3895528E-02,7.69043E-03
-4.3894928E-02,9.88770E-03
-4.3894328E-02,1.06201E-02
-4.3893728E-02,9.15527E-03
-4.3893128E-02,9.88770E-03
-4.3892528E-02,4.76074E-03
-4.3891928E-02,1.35498E-02
-4.3891328E-02,9.15527E-03
-4.3890728E-02,1.13525E-02
-4.3890128E-02,1.13525E-02
-4.3889528E-02,1.13525E-02
-4.3888928E-02,1.35498E-02
-4.3888328E-02,9.15527E-03
-4.3887728E-02,1.06201E-02
-4.3887128E-02,1.20850E-02
-4.3886528E-02,1.57471E-02
-4.3885928E-02,9.15527E-03
-4.3885328E-02,1.20850E-02
-4.3884728E-02,9.15527E-03
-4.3884128E-02,8.42285E-03
-4.3883528E-02,1.06201E-02
-4.3882928E-02,1.28174E-02
-4.3882328E-02,9.15527E-03
-4.3881728E-02,8.42285E-03
-4.3881128E-02,1.06201E-02
-4.3880528E-02,1.20850E-02
-4.3879928E-02,1.28174E-02
-4.3879328E-02,1.13525E-02
-4.3878728E-02,6.95801E-03
-4.3878128E-02,9.88770E-03
-4.3877528E-02,1.57471E-02
-4.3876928E-02,1.20850E-02
-4.3876328E-02,1.28174E-02
-4.3875728E-02,7.69043E-03
